ln_wage,educ,servseg,educ_servseg,exp,exp_sq,fem,cont,reg_i,age
8.517193191,0,0,0,40,1600,0,0,NMM,58
8.517193191,0,0,0,17,289,0,0,NMM,32
8.411832676,0,0,0,54,2916,0,0,NMM,63
8.411832676,0,0,0,54,2916,0,0,NMM,63
8.006367568,0,0,0,12,144,0,0,NMM,23
8.699514748,0,0,0,37,1369,0,0,NMM,46
8.699514748,0,0,0,22,484,0,0,NMM,37
8.779557456,0,0,0,31,961,1,0,RRD,42
8.71604405,0,0,0,28,784,1,1,RRD,39
8.556413905,0,0,0,30,900,0,1,RRD,45
8.29404964,0,0,0,28,784,1,1,RRD,43
8.242756346,0,0,0,39,1521,1,1,RRD,54
8.242756346,0,0,0,39,1521,1,1,RRD,54
8.366370302,0,0,0,33,1089,1,0,RRD,48
9.903487553,0,0,0,38,1444,0,0,RRD,56
8.411832676,0,0,0,48,2304,0,1,RRD,63
6.214608098,0,0,0,47,2209,0,0,RRD,62
8.788745882,0,0,0,10,100,1,1,RRD,28
7.003065459,0,1,0,50,2500,0,0,RRD,68
7.313220387,0,0,0,45,2025,1,0,RRD,60
8.651724084,0,0,0,24,576,1,0,RRD,35
9.045465729,0,1,0,16,256,0,1,RRD,34
9.296518068,0,1,0,12,144,0,1,RRD,30
8.29404964,0,0,0,44,1936,1,0,RRD,55
8.29404964,0,0,0,45,2025,1,0,RRD,56
8.517193191,0,0,0,43,1849,0,1,RRD,58
7.60090246,0,0,0,54,2916,1,0,RRD,65
8.342839804,0,0,0,29,841,1,0,RRD,44
8.29404964,1,0,0,1,1,0,0,RRD,23
7.268920128,1,0,0,30,900,0,1,RRD,52
7.863266724,0,1,0,40,1600,0,1,RRD,60
8.342839804,0,0,0,29,841,1,0,RRD,40
8.779557456,0,1,0,36,1296,0,1,RRD,56
8.987196821,0,0,0,6,36,0,1,RRD,27
7.43838353,0,0,0,34,1156,0,1,RRD,52
8.342839804,0,0,0,0,0,0,0,RRD,18
8.455317788,0,0,0,10,100,1,1,RRD,25
6.684611728,0,0,0,67,4489,0,0,RRD,78
8.411832676,0,0,0,42,1764,0,0,RRD,57
7.495541944,0,0,0,47,2209,0,0,RRD,58
8.612503371,0,0,0,19,361,0,0,RRD,30
