ln_wage,educ,servseg,educ_servseg,exp,exp_sq,fem,cont,reg_i,age
8.9226583,0,0,0,15,225,1,1,SE,33
8.411832676,0,0,0,10,100,1,1,SE,25
8.411832676,0,0,0,3,9,0,0,SE,18
8.517193191,0,0,0,15,225,1,1,SE,33
9.210340372,0,0,0,11,121,1,1,SE,29
8.612503371,0,0,0,14,196,0,1,SE,29
8.612503371,0,0,0,14,196,0,1,SE,29
8.853665428,0,0,0,10,100,1,1,SE,30
8.853665428,0,0,0,13,169,1,1,SE,31
9.210340372,0,1,0,15,225,0,1,SE,35
8.699514748,0,0,0,10,100,0,1,SE,28
8.517193191,0,1,0,13,169,1,1,SE,34
8.987196821,1,1,1,13,169,0,1,SE,35
8.612503371,0,0,0,3,9,1,1,SE,21
9.210340372,1,1,1,11,121,0,1,SE,33
8.699514748,0,0,0,7,49,1,1,SE,28
8.612503371,0,0,0,6,36,0,0,SE,21
7.60090246,0,0,0,6,36,0,0,SE,17
7.824046011,0,0,0,7,49,0,0,SE,18
8.131530711,0,0,0,3,9,0,0,SE,18
8.131530711,0,0,0,3,9,0,0,SE,18
8.517193191,0,0,0,5,25,1,0,SE,23
8.612503371,0,1,0,15,225,0,1,SE,33
7.824046011,0,0,0,2,4,1,0,SE,20
8.853665428,0,0,0,8,64,0,0,SE,26
7.313220387,0,1,0,0,0,0,0,SE,16
8.536995819,0,0,0,18,324,0,0,SE,33
8.29404964,0,0,0,7,49,0,0,SE,25
8.006367568,0,0,0,10,100,1,0,SE,25
8.517193191,0,0,0,12,144,0,0,SE,27
8.517193191,0,0,0,13,169,1,0,SE,28
8.411832676,0,0,0,2,4,1,0,SE,20
8.476371197,0,0,0,13,169,0,0,SE,24
8.29404964,0,0,0,4,16,0,0,SE,15
8.160518247,0,0,0,9,81,1,0,SE,18
8.160518247,0,0,0,16,256,1,0,SE,27
8.411832676,0,0,0,17,289,1,0,SE,28
8.29404964,0,0,0,11,121,1,0,SE,22
8.987196821,0,0,0,17,289,0,1,SE,35
8.987196821,1,0,0,8,64,0,1,SE,30
8.29404964,0,0,0,13,169,1,1,SE,28
